演奏順,演奏顺序
効果,效果
秒数(),秒数()
重ねがけ効果,重合效果
移動速度アップ,移动速度提高
はじかれ無効,弹刀无效
攻撃力強化【小】,攻击力强化【小】
防御力強化【小】,防御力强化【小】
体力増加【小】,体力增加【小】
風圧無効,风压无效
風圧完全無効,风压完全无效
体力回復【小】,体力回复【小】
回復速度【小】,回复速度【小】
暑さ無効,炎热无效
寒さ無効,寒冷无效
耐だるま状態,耐雪人状态
聴覚保護【小】,听觉保护【小】
聴覚保護【大】,听觉保护【大】
火耐性強化【小】火やられ【小】無効,火属性防御强化【小】火异常【小】無効
高周波発生,高周波
スタミナ減少無効【小】,耐力减少无效【小】
体力回復【小】＆解毒,体力回复【小】＆解毒
千里眼,千里眼
氷耐性強化【小】,冰耐性强化【小】
氷やられ【小】無効,氷异常【小】無効
体力回復【中】＆消臭,体力回复【中】＆除臭
雷耐性強化【小】＆雷やられ【小】無効,雷耐性强化【小】＆雷异常【小】無効
更に雷耐性強化＆雷やられ完全無効,更雷耐性强化＆雷异常完全無効
龍耐性強化【小】,龍耐性强化【小】
耐震,耐震
麻痺無効,麻痹无效
水耐性強化【小】＆水やられ【小】無効,水耐性强化【小】＆水异常无效
更に水耐性強化＆水やられ完全無効,更加水耐性強化＆水异常完全無効
属性攻撃力強化,属性攻击力强化
攻撃力強化【大】,攻击力强化【大】
さらに攻撃力強化,更加攻击力强化
防御力強化【大】,防御力强化【大】
さらに防御力強化,更加防御力强化
体力増加【大】,体力增加【大】
回復速度【大】,回复速度【大】
地形ダメージも無効,地形伤害也无效
火耐性強化【大】＆火やられ完全無効,火耐性强化【大】＆火异常完全無効
スタミナ減少無効【大】,耐力减少无效【大】
体力回復【中】＆解毒,体力回复【中】＆解毒
気絶無効,昏厥无效
風圧を完全無効,风压完全无效
氷耐性強化【大】＆氷やられ完全無効,冰耐性强化【大】＆氷异常完全無効
体力回復【大】,体力回复【大】
精霊王の加護,精灵王的保佑
雷耐性強化【大】＆雷やられ完全無効,雷耐性强化【大】＆雷异常完全無効
龍耐性強化【大】,龍耐性强化【大】
水耐性強化【大】＆水やられ完全無効,水抗性强化【大】＆水异常完全無効
のけぞり無効,硬直无效
全旋律効果延長,全旋律效果延长
攻撃力＆防御力強化【小】,攻击力＆防御力强化【小】
さらに攻撃力＆防御力強化,更加攻击力＆防御力强化
会心率UP＆体力回復【小】,会心率UP ＆体力回复【小】
聴覚保護【小】＆風圧軽減,听觉保护【小】＆风压减轻
聴覚保護【大】＆風圧完全無効,听觉保护【大】＆风压完全无效
さらに属性攻撃力強化,更加属性攻击力强化
全属性耐性強化,全属性耐性强化
さらに全属性耐性強化,更全属性耐性强化
属性やられ無効,属性异常无效
全状態異常無効,全状态异常无效
状態異常攻撃強化,状态异常攻击强化
さらに状態異常攻撃強化,更加状态异常攻击强化
